ctxID,wholepath,output_folder,lat_min,lat_max,areakm2_original,areakm2_clipped
P04_002646_0957_XI_84S118W_P07_003780_0957_XI_84S118W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P04_002646_0957_XI_84S118W_P07_003780_0957_XI_84S118W,output_-115_-110_-85_-70,-84.4914,-84.3443,14.1774,0.0
G06_020592_0957_XN_84S117W_J12_049431_0962_XN_83S126W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\G06_020592_0957_XN_84S117W_J12_049431_0962_XN_83S126W,output_-115_-110_-85_-70,-84.4248,-84.4139,0.0879,0.0
J11_048929_1001_XN_79S110W_J10_048507_1000_XN_80S112W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\J11_048929_1001_XN_79S110W_J10_048507_1000_XN_80S112W,output_-115_-110_-85_-70,-80.4662,-79.277,97.6579,0.0
P07_003912_0957_XI_84S117W_D12_031774_0958_XN_84S118W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P07_003912_0957_XI_84S117W_D12_031774_0958_XN_84S118W,output_-115_-110_-85_-70,-84.3702,-84.3038,1.0789,0.0
P05_002936_0957_XI_84S118W_P05_003160_0958_XI_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P05_002936_0957_XI_84S118W_P05_003160_0958_XI_84S117W,output_-115_-110_-85_-70,-84.5264,-84.3648,16.0763,0.0
P07_003925_0958_XI_84S115W_G10_022148_0957_XN_84S118W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P07_003925_0958_XI_84S115W_G10_022148_0957_XN_84S118W,output_-115_-110_-85_-70,-84.4858,-84.2953,27.5098,0.0
P04_002567_0957_XI_84S118W_P07_003912_0957_XI_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P04_002567_0957_XI_84S118W_P07_003912_0957_XI_84S117W,output_-115_-110_-85_-70,-84.5439,-84.2972,37.6262,0.0
P04_002567_0957_XI_84S118W_P07_003780_0957_XI_84S118W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P04_002567_0957_XI_84S118W_P07_003780_0957_XI_84S118W,output_-115_-110_-85_-70,-84.5367,-84.3443,26.5723,0.0
P08_004043_1026_XI_77S110W_D13_032327_1060_XN_74S114W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P08_004043_1026_XI_77S110W_D13_032327_1060_XN_74S114W,output_-115_-110_-85_-70,-75.7628,-75.563,156.6802,0.0
P04_002646_0957_XI_84S118W_P05_003147_0955_XI_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P04_002646_0957_XI_84S118W_P05_003147_0955_XI_84S117W,output_-115_-110_-85_-70,-84.4914,-84.3978,6.3675,0.0
G10_022148_0957_XN_84S118W_J12_049444_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\G10_022148_0957_XN_84S118W_J12_049444_0957_XN_84S117W,output_-115_-110_-85_-70,-84.4519,-84.2953,12.0632,0.0
B12_014275_0996_XN_80S109W_J14_050287_1030_XI_77S113W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\B12_014275_0996_XN_80S109W_J14_050287_1030_XI_77S113W,output_-115_-110_-85_-70,-79.5958,-77.67,748.857,0.0
P04_002567_0957_XI_84S118W_P05_003125_0845_XI_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P04_002567_0957_XI_84S118W_P05_003125_0845_XI_84S117W,output_-115_-110_-85_-70,-84.5235,-84.2969,22.3998,0.0
J14_050393_1001_XI_79S119W_J13_049905_0992_XN_80S115W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\J14_050393_1001_XI_79S119W_J13_049905_0992_XN_80S115W,output_-115_-110_-85_-70,-81.886,-80.8018,87.1181,0.0
F10_039580_0995_XN_80S110W_J10_048507_1000_XN_80S112W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\F10_039580_0995_XN_80S110W_J10_048507_1000_XN_80S112W,output_-115_-110_-85_-70,-80.6335,-79.5513,752.6245,0.0
B08_012614_0971_XN_82S115W_J12_049338_0969_XN_83S111W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\B08_012614_0971_XN_82S115W_J12_049338_0969_XN_83S111W,output_-115_-110_-85_-70,-83.7869,-82.1809,14.2784,0.0
B09_012983_0976_XN_82S111W_F13_040978_1004_XN_79S118W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\B09_012983_0976_XN_82S111W_F13_040978_1004_XN_79S118W,output_-115_-110_-85_-70,-81.4055,-80.4559,174.8611,0.0
J09_048296_1038_XN_76S114W_J14_050287_1030_XI_77S113W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\J09_048296_1038_XN_76S114W_J14_050287_1030_XI_77S113W,output_-115_-110_-85_-70,-78.205,-74.3788,3157.0768,166.8734
P08_004202_0957_XI_84S118W_B07_012390_0959_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P08_004202_0957_XI_84S118W_B07_012390_0959_XN_84S117W,output_-115_-110_-85_-70,-84.3868,-84.3292,0.7418,0.0
P10_004980_0945_XN_85S099W_B11_013959_0961_XN_83S114W,G:\crater_flux_output_folders\output_-110_-100_-85_-30\P10_004980_0945_XN_85S099W_B11_013959_0961_XN_83S114W,output_-115_-110_-85_-70,-84.5144,-84.091,407.8289,0.0
P08_004043_1026_XI_77S110W_G13_023136_1029_XN_77S109W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P08_004043_1026_XI_77S110W_G13_023136_1029_XN_77S109W,output_-115_-110_-85_-70,-77.3123,-76.093,3.5516,0.0
P10_005046_0956_XI_84S117W_J13_049734_0963_XI_83S123W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P10_005046_0956_XI_84S117W_J13_049734_0963_XI_83S123W,output_-115_-110_-85_-70,-85.0,-84.8134,22.2857,0.0
P06_003402_0845_XI_84S115W_G10_021937_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P06_003402_0845_XI_84S115W_G10_021937_0957_XN_84S117W,output_-115_-110_-85_-70,-84.7294,-84.2829,127.2847,0.0
P07_003780_0957_XI_84S118W_G06_020592_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P07_003780_0957_XI_84S118W_G06_020592_0957_XN_84S117W,output_-115_-110_-85_-70,-84.4248,-84.3443,2.7826,0.0
B08_012719_0996_XN_80S108W_D12_031826_1031_XN_76S114W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\B08_012719_0996_XN_80S108W_D12_031826_1031_XN_76S114W,output_-115_-110_-85_-70,-78.6913,-77.7386,374.6752,0.0
B12_014262_1016_XN_78S117W_J13_049760_0973_XI_82S107W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\B12_014262_1016_XN_78S117W_J13_049760_0973_XI_82S107W,output_-115_-110_-85_-70,-80.8964,-80.6354,189.6431,0.0
P05_002936_0957_XI_84S118W_G09_021726_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P05_002936_0957_XI_84S118W_G09_021726_0957_XN_84S117W,output_-115_-110_-85_-70,-84.482,-84.3648,7.5092,0.0
P10_005046_0956_XI_84S117W_G07_020948_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P10_005046_0956_XI_84S117W_G07_020948_0957_XN_84S117W,output_-115_-110_-85_-70,-84.673,-84.3071,91.5998,0.0
B07_012548_0969_XN_83S110W_J12_049338_0969_XN_83S111W,G:\crater_flux_output_folders\output_-110_-100_-85_-30\B07_012548_0969_XN_83S110W_J12_049338_0969_XN_83S111W,output_-115_-110_-85_-70,-83.6868,-82.149,942.9798,0.0
P07_003912_0957_XI_84S117W_G06_020724_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P07_003912_0957_XI_84S117W_G06_020724_0957_XN_84S117W,output_-115_-110_-85_-70,-84.5375,-84.2972,33.1523,0.0
B08_012680_0983_XN_81S122W_J10_048692_0966_XN_83S114W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\B08_012680_0983_XN_81S122W_J10_048692_0966_XN_83S114W,output_-115_-110_-85_-70,-83.8382,-83.6022,9.9144,0.0
P06_003424_0957_XI_84S118W_G05_020170_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P06_003424_0957_XI_84S118W_G05_020170_0957_XN_84S117W,output_-115_-110_-85_-70,-84.5174,-84.335,20.0625,0.0
B07_012548_0969_XN_83S110W_B08_012614_0971_XN_82S115W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\B07_012548_0969_XN_83S110W_B08_012614_0971_XN_82S115W,output_-115_-110_-85_-70,-83.6868,-82.1691,1328.478,0.0
G10_021937_0957_XN_84S117W_G10_022148_0957_XN_84S118W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\G10_021937_0957_XN_84S117W_G10_022148_0957_XN_84S118W,output_-115_-110_-85_-70,-84.4858,-84.2953,21.5978,0.0
P07_003925_0958_XI_84S115W_G10_021937_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P07_003925_0958_XI_84S115W_G10_021937_0957_XN_84S117W,output_-115_-110_-85_-70,-84.6216,-84.2829,92.9364,0.0
P04_002646_0957_XI_84S118W_G09_021726_0957_XN_84S117W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P04_002646_0957_XI_84S118W_G09_021726_0957_XN_84S117W,output_-115_-110_-85_-70,-84.482,-84.3319,12.0793,0.0
B12_014341_1026_XN_77S115W_J09_048296_1038_XN_76S114W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\B12_014341_1026_XN_77S115W_J09_048296_1038_XN_76S114W,output_-115_-110_-85_-70,-78.2256,-76.5354,0.2485,0.0
D13_032182_1030_XN_77S112W_J08_048085_1059_XN_74S114W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\D13_032182_1030_XN_77S112W_J08_048085_1059_XN_74S114W,output_-115_-110_-85_-70,-76.6068,-75.032,1057.017,0.0
P06_003424_0957_XI_84S118W_P07_003780_0957_XI_84S118W,G:\crater_flux_output_folders\output_-115_-110_-85_-70\P06_003424_0957_XI_84S118W_P07_003780_0957_XI_84S118W,output_-115_-110_-85_-70,-84.5174,-84.3443,19.9815,0.0
