wholepath,ctxID,centerlon,centerlat,areakm2,hits,hitratio,RegistrationScore
G:\crater_flux_output_folders\output_-110_-100_-30_0\B01_009870_1778_XI_02S108W_B05_011782_1818_XI_01N109W,B01_009870_1778_XI_02S108W_B05_011782_1818_XI_01N109W,4224557.915,-3629.27158,46.05220667,20,0.434289721,0.278437406
G:\crater_flux_output_folders\output_-110_-100_-30_0\B01_009870_1778_XI_02S108W_B18_016806_1740_XN_06S108W,B01_009870_1778_XI_02S108W_B18_016806_1740_XN_06S108W,4255130.825,-263919.1276,95.81751622,0,0,0.278784841
G:\crater_flux_output_folders\output_-110_-100_-30_0\B01_009870_1778_XI_02S108W_D04_028621_1774_XN_02S108W,B01_009870_1778_XI_02S108W_D04_028621_1774_XN_02S108W,4257021.384,-158002.2181,1310.704436,1131,0.862894768,0.122672126
