impact_id,lon,lat,category,n_ctx,ProductId,UTCstart
8,176.886,46.354,good,41,B20_017270_2289_XN_48N183W,2010-04-03T04:47:16.530
8,176.886,46.354,good,41,G02_018971_2245_XI_44N182W,2010-08-13T17:52:28.549
8,176.886,46.354,good,41,G04_019749_2244_XI_44N182W,2010-10-13T08:48:39.302
8,176.886,46.354,good,41,G06_020527_2244_XI_44N182W,2010-12-12T23:44:59.136
8,176.886,46.354,good,41,G16_024351_2245_XI_44N182W,2011-10-06T23:02:58.149
8,176.886,46.354,good,41,G18_025274_2245_XI_44N182W,2011-12-17T21:12:55.759
8,176.886,46.354,good,41,G20_026052_2245_XI_44N182W,2012-02-16T12:06:14.586
8,176.886,46.354,good,41,G23_027041_2245_XI_44N182W,2012-05-03T13:36:11.304
8,176.886,46.354,good,41,D02_027885_2245_XI_44N182W,2012-07-08T07:47:34.178
8,176.886,46.354,good,41,D04_028729_2245_XI_44N182W,2012-09-12T02:03:05.868
8,176.886,46.354,good,41,D06_029652_2245_XI_44N182W,2012-11-23T00:13:23.577
8,176.886,46.354,good,41,D16_033344_2245_XI_44N182W,2013-09-06T16:59:49.301
8,176.886,46.354,good,41,D18_034122_2245_XI_44N182W,2013-11-06T07:56:44.115
8,176.886,46.354,good,41,D20_034900_2245_XI_44N182W,2014-01-05T22:59:11.807
8,176.886,46.354,good,41,D22_035823_2245_XI_44N182W,2014-03-18T21:07:14.243
8,176.886,46.354,good,41,F02_036601_2246_XI_44N182W,2014-05-18T11:59:39.007
8,176.886,46.354,good,41,F04_037379_2245_XI_44N182W,2014-07-18T03:01:24.867
8,176.886,46.354,good,41,F06_038289_2245_XI_44N182W,2014-09-27T00:36:37.226
8,176.886,46.354,good,41,F17_042377_2245_XI_44N182W,2015-08-11T12:57:45.625
8,176.886,46.354,good,41,F19_043155_2245_XI_44N182W,2015-10-11T03:53:28.407
8,176.886,46.354,good,41,F21_043933_2245_XI_44N182W,2015-12-10T18:42:24.826
8,176.886,46.354,good,41,F23_044777_2245_XI_44N182W,2016-02-14T12:49:08.965
8,176.886,46.354,good,41,J02_045621_2246_XI_44N182W,2016-04-20T06:56:02.619
8,176.886,46.354,good,41,J04_046399_2245_XI_44N182W,2016-06-19T21:58:49.341
8,176.886,46.354,good,41,J05_046544_2282_XN_48N183W,2016-07-01T05:10:21.079
8,176.886,46.354,good,41,J06_047322_2244_XN_44N182W,2016-08-30T20:10:12.375
8,176.886,46.354,good,41,J16_051159_2244_XI_44N182W,2017-06-25T20:14:58.529
8,176.886,46.354,good,41,J18_051937_2245_XI_44N182W,2017-08-25T11:10:13.203
9,-113.431,-2.02,good,7,P06_003449_1762_XN_03S113W,2007-04-22T04:43:48.126
9,-113.431,-2.02,good,7,P08_004082_1762_XI_03S113W,2007-06-10T12:31:08.403
9,-113.431,-2.02,good,7,B01_009923_1790_XN_01S113W,2008-09-07T16:55:50.753
9,-113.431,-2.02,good,7,B03_010635_1780_XI_02S113W,2008-11-02T04:28:27.448
9,-113.431,-2.02,good,7,D12_031944_1790_XN_01S113W,2013-05-20T14:29:19.130
